px_R,px_L,x_R,x_L
-3.5302e-24,-3.7654e-25,2.2057e+05,83236
-2.7814e-24,2.5271e-24,2.3712e+05,2.8043e+05
-2.6821e-24,2.8124e-24,2.4204e+05,2.9435e+05
-3.4666e-24,-8.2255e-25,2.2236e+05,65074
-3.443e-24,2.4681e-24,2.2294e+05,3.0758e+05
-3.5636e-24,2.7324e-24,2.1884e+05,2.8973e+05
-3.2232e-24,2.4932e-24,2.2674e+05,3.0641e+05
-2.9942e-24,-2.0618e-24,2.3196e+05,2.0896e+05
-3.5564e-24,-9.3121e-25,2.1961e+05,62404
-2.9363e-24,-1.4278e-25,2.3291e+05,95936
-3.2227e-24,-1.2126e-24,2.7593e+05,58931
-2.8734e-24,2.409e-24,2.3495e+05,3.0933e+05
-2.4113e-24,-3.826e-25,2.4793e+05,73495
-2.9058e-24,-1.5584e-24,2.3401e+05,2.1519e+05
-3.1272e-24,2.7945e-24,2.2869e+05,2.8839e+05
-3.1739e-24,-2.2894e-25,2.2938e+05,91621
-3.2951e-24,-7.612e-25,2.2568e+05,66351
-3.6102e-24,2.716e-24,2.1823e+05,2.873e+05
-3.5521e-24,2.4615e-24,2.2e+05,3.1264e+05
-3.1267e-24,2.801e-24,2.287e+05,2.9215e+05
-3.2439e-24,-1.5364e-24,2.2641e+05,55311
-4.14e-24,-2.1064e-24,2.0697e+05,47658
-3.2671e-24,2.7412e-24,2.2608e+05,2.9009e+05
-3.5883e-24,-3.0025e-25,2.184e+05,85107
-3.5385e-24,-3.1803e-24,2.2064e+05,28857
-2.2552e-24,2.6981e-24,2.516e+05,2.8721e+05
-3.1739e-24,-3.8346e-25,2.2898e+05,73589
-3.9471e-24,2.5258e-24,2.1162e+05,2.8046e+05
-2.7566e-24,-9.1727e-25,2.3655e+05,62802
-4.0191e-24,-1.0494e-24,2.1e+05,61180
-3.484e-24,2.54e-24,2.22e+05,2.8132e+05
-3.6924e-24,2.5317e-24,2.1625e+05,2.7983e+05
-3.6173e-24,7.4134e-25,2.1757e+05,1.1746e+05
-3.132e-24,-2.0222e-24,2.2849e+05,2.0873e+05
-3.5439e-24,-7.2029e-25,2.1951e+05,67060
-3.0523e-24,1.8304e-24,2.3018e+05,2.5777e+05
-3.5529e-24,2.7195e-24,2.206e+05,2.8897e+05
-3.9831e-24,2.6174e-24,2.1088e+05,2.8366e+05
-2.9327e-24,-1.451e-24,2.3448e+05,56234
-3.8233e-24,-1.2739e-24,2.1421e+05,58123
-3.6953e-24,-4.2495e-25,2.1627e+05,81378
-3.8617e-24,-1.3e-24,2.1316e+05,57870
-3.4144e-24,-6.5597e-25,2.2335e+05,68482
-3.6113e-24,-4.503e-25,2.1793e+05,80179
-3.0842e-24,-3.9245e-25,2.2933e+05,75161
-3.6369e-24,2.6465e-24,2.1813e+05,2.9903e+05
-3.6549e-24,2.6634e-24,2.1769e+05,3.0039e+05
-3.778e-24,2.7369e-24,2.1502e+05,2.9789e+05
-3.7702e-24,2.7118e-24,2.1516e+05,2.8852e+05
-4.2883e-24,-1.9092e-24,2.045e+05,2.0996e+05
-3.886e-24,2.7298e-24,2.1281e+05,2.9842e+05
-4.0203e-24,-1.8589e-24,2.0976e+05,51357
-3.8947e-24,-1.6349e-24,2.1241e+05,54249
