px_R,px_L,x_R,x_L
2.3925e-24,-2.6406e-24,1.7031e+05,24202
2.418e-24,-2.7483e-24,1.6839e+05,11278
2.3363e-24,-2.7007e-24,1.6038e+05,21023
2.3544e-24,-2.7625e-24,1.5849e+05,13847
2.4189e-24,-2.7061e-24,1.7193e+05,16715
2.3901e-24,-2.7111e-24,1.7011e+05,20540
2.386e-24,-2.7055e-24,1.6971e+05,20234
2.416e-24,-2.7462e-24,1.6831e+05,12147
2.3747e-24,-2.5846e-24,1.6687e+05,27672
2.4028e-24,-2.6818e-24,1.7081e+05,23571
2.3793e-24,-2.6447e-24,1.6691e+05,25167
2.3495e-24,-2.7064e-24,1.6549e+05,19985
2.4711e-24,-2.6858e-24,1.7423e+05,21756
2.4018e-24,-2.6647e-24,1.6808e+05,22333
2.3981e-24,-2.7119e-24,1.6821e+05,19539
2.2928e-24,-2.7085e-24,1.6397e+05,19627
2.3936e-24,-2.7547e-24,1.6813e+05,15711
2.3965e-24,-2.676e-24,1.6838e+05,23221
2.4025e-24,-2.6972e-24,1.7206e+05,20910
2.3744e-24,-2.6901e-24,1.7061e+05,19139
2.4557e-24,-2.6468e-24,1.7411e+05,25365
2.4073e-24,-2.705e-24,1.725e+05,18601
2.3837e-24,-2.7115e-24,1.6908e+05,20098
2.3424e-24,-2.7135e-24,1.6599e+05,16614
2.3836e-24,-2.6643e-24,1.6747e+05,24522
2.3751e-24,-2.6921e-24,1.6814e+05,18142
2.3791e-24,-2.6839e-24,1.6978e+05,18098
2.3529e-24,-2.6967e-24,1.6613e+05,21542
2.5079e-24,-2.7123e-24,1.7614e+05,18819
2.3881e-24,-2.7423e-24,1.7154e+05,16629
2.3933e-24,-2.7041e-24,1.7184e+05,21011
2.3777e-24,-2.7043e-24,1.7018e+05,18252
2.3608e-24,-2.7014e-24,1.6913e+05,23302
2.3663e-24,-2.6967e-24,1.6708e+05,22559
2.3874e-24,-2.7238e-24,1.7088e+05,19442
2.375e-24,-2.7773e-24,1.6697e+05,15188
2.5293e-24,-2.7298e-24,1.791e+05,16969
2.432e-24,-2.6861e-24,1.7308e+05,22253
2.5154e-24,-2.6353e-24,1.779e+05,26568
2.4722e-24,-2.7089e-24,1.7588e+05,18020
2.3594e-24,-2.6921e-24,1.6858e+05,21984
2.4034e-24,-2.7182e-24,1.7394e+05,18979
2.3546e-24,-2.6843e-24,1.6931e+05,23916
2.3825e-24,-2.6606e-24,1.7237e+05,25337
2.3828e-24,-2.7329e-24,1.7136e+05,19958
2.3596e-24,-2.6159e-24,1.6857e+05,27249
2.3534e-24,-2.6384e-24,1.6914e+05,26529
2.3889e-24,-2.7293e-24,1.7316e+05,17079
2.3534e-24,-2.6969e-24,1.6922e+05,22168
2.3699e-24,-2.703e-24,1.7121e+05,18316
2.3826e-24,-2.6995e-24,1.7154e+05,23772
2.2755e-24,-2.7135e-24,1.6355e+05,17188
2.4112e-24,-2.7181e-24,1.7361e+05,21300
2.4021e-24,-2.728e-24,1.7259e+05,21247
2.3369e-24,-2.6479e-24,1.6691e+05,26330
2.3967e-24,-2.708e-24,1.7274e+05,22420
2.3867e-24,-2.7591e-24,1.7175e+05,20180
2.3585e-24,-2.6696e-24,1.7051e+05,25314
2.3693e-24,-2.6124e-24,1.7043e+05,29950
2.3474e-24,-2.6117e-24,1.6873e+05,30879
2.3529e-24,-2.7318e-24,1.7004e+05,18590
